iter	Passed	Remaining
0	47	37706
1	47	19090
2	48	12944
3	49	9804
4	49	7915
5	50	6664
6	50	5769
7	51	5095
8	52	4570
9	52	4151
10	53	3822
11	53	3534
12	54	3291
13	54	3082
14	55	2904
15	56	2745
16	56	2605
17	57	2479
18	57	2367
19	58	2270
20	58	2182
21	59	2105
22	60	2033
23	60	1968
24	61	1907
25	62	1848
26	62	1794
27	63	1743
28	63	1696
29	64	1652
30	64	1610
31	65	1571
32	66	1535
33	66	1499
34	67	1467
35	67	1436
36	68	1406
37	68	1379
38	69	1352
39	69	1327
40	70	1304
41	71	1281
42	71	1259
43	72	1238
44	72	1218
45	73	1199
46	73	1181
47	74	1164
48	74	1147
49	75	1131
50	76	1116
51	76	1101
52	77	1086
53	77	1072
54	78	1059
55	78	1045
56	79	1032
57	79	1020
58	80	1008
59	80	997
60	81	986
61	82	976
62	82	965
63	83	955
64	83	945
65	84	935
66	84	926
67	85	917
68	85	908
69	86	900
70	86	891
71	87	883
72	87	875
73	88	867
74	88	859
75	89	852
76	89	844
77	90	837
78	91	831
79	91	824
80	92	818
81	92	811
82	93	805
83	93	799
84	94	793
85	94	787
86	95	781
87	95	775
88	96	770
89	96	765
90	97	760
91	98	755
92	98	751
93	99	747
94	100	743
95	100	739
96	101	734
97	101	729
98	102	726
99	103	723
100	104	720
101	104	716
102	105	712
103	105	708
104	106	704
105	107	700
106	107	697
107	108	693
108	108	690
109	109	687
110	110	684
111	110	680
112	111	677
113	111	673
114	112	670
115	113	667
116	113	663
117	114	660
118	114	657
119	115	654
120	116	652
121	116	649
122	117	646
123	117	643
124	118	640
125	119	637
126	119	634
127	120	632
128	121	629
129	121	627
130	122	624
131	122	620
132	123	617
133	123	615
134	124	612
135	124	610
136	125	607
137	126	605
138	126	602
139	127	599
140	127	597
141	128	595
142	129	592
143	129	590
144	130	588
145	130	585
146	131	583
147	131	581
148	132	579
149	133	576
150	133	574
151	134	572
152	134	570
153	135	567
154	136	566
155	136	563
156	137	561
157	137	558
158	138	556
159	138	554
160	139	552
161	139	551
162	140	548
163	141	546
164	141	545
165	142	544
166	143	542
167	143	541
168	144	539
169	145	537
170	145	535
171	146	534
172	146	532
173	147	530
174	148	529
175	148	528
176	149	526
177	150	525
178	151	524
179	151	522
180	152	520
181	152	518
182	153	516
183	153	513
184	153	511
185	154	509
186	154	507
187	155	505
188	155	502
189	155	500
190	156	498
191	156	497
192	157	495
193	158	494
194	158	492
195	159	491
196	159	489
197	160	487
198	161	486
199	162	486
200	162	484
201	163	483
202	163	482
203	164	480
204	164	478
205	165	476
206	165	475
207	166	473
208	166	471
209	167	470
210	167	468
211	168	466
212	168	465
213	169	463
214	169	462
215	170	460
216	170	458
217	171	457
218	171	455
219	172	454
220	173	453
221	173	452
222	174	450
223	174	449
224	175	448
225	175	446
226	176	445
227	176	443
228	177	441
229	177	440
230	178	439
231	178	437
232	179	436
233	179	435
234	180	433
235	180	432
236	181	430
237	181	429
238	182	427
239	182	426
240	183	425
241	184	424
242	186	426
243	186	425
244	187	424
245	188	423
246	188	422
247	189	421
248	189	419
249	190	418
250	190	417
251	191	416
252	191	414
253	192	413
254	192	412
255	193	410
256	193	409
257	194	408
258	194	406
259	195	405
260	195	404
261	196	403
262	196	401
263	197	400
264	197	399
265	198	397
266	198	396
267	199	395
268	199	394
269	200	392
270	200	391
271	200	390
272	201	388
273	201	387
274	202	386
275	202	384
276	203	383
277	203	382
278	204	381
279	204	380
280	205	378
281	205	377
282	206	376
283	206	375
284	207	374
285	207	373
286	208	372
287	208	371
288	209	370
289	210	369
290	210	368
291	211	367
292	211	366
293	212	365
294	212	364
295	213	363
296	213	362
297	214	360
298	214	360
299	215	359
300	216	358
301	216	357
302	217	356
303	218	355
304	218	354
305	219	353
306	219	352
307	220	352
308	220	351
309	221	350
310	222	349
311	222	348
312	223	347
313	223	346
314	224	345
315	224	343
316	224	342
317	225	341
318	225	340
319	226	339
320	226	338
321	227	337
322	227	336
323	228	335
324	229	334
325	229	333
326	229	332
327	230	331
328	230	330
329	231	329
330	232	328
331	232	327
332	233	327
333	233	326
334	234	325
335	234	324
336	235	323
337	236	322
338	236	321
339	237	321
340	237	320
341	238	319
342	238	318
343	239	317
344	240	316
345	240	315
346	241	314
347	241	314
348	242	313
349	242	312
350	243	311
351	243	310
352	244	309
353	244	308
354	245	307
355	246	306
356	246	306
357	247	305
358	247	304
359	248	303
360	248	302
361	249	301
362	250	301
363	250	300
364	251	299
365	252	298
366	252	298
367	253	297
368	253	296
369	254	295
370	254	294
371	255	293
372	255	292
373	256	291
374	256	291
375	257	290
376	257	289
377	258	288
378	259	287
379	259	286
380	260	286
381	260	285
382	261	284
383	262	284
384	262	283
385	263	282
386	263	281
387	264	280
388	264	279
389	265	278
390	265	278
391	266	277
392	266	276
393	267	275
394	267	274
395	267	273
396	268	272
397	269	272
398	270	271
399	271	271
400	271	270
401	272	269
402	272	268
403	273	267
404	273	267
405	274	266
406	274	265
407	275	264
408	276	263
409	276	263
410	277	262
411	277	261
412	278	261
413	279	260
414	279	259
415	280	258
416	280	258
417	281	257
418	282	256
419	282	255
420	283	255
421	283	254
422	284	253
423	285	252
424	285	252
425	286	251
426	287	250
427	287	250
428	288	249
429	288	248
430	289	247
431	289	247
432	290	246
433	291	245
434	291	244
435	292	243
436	292	243
437	293	242
438	293	241
439	294	240
440	294	240
441	295	239
442	296	238
443	296	237
444	296	236
445	297	236
446	298	235
447	298	234
448	298	233
449	299	233
450	300	232
451	300	231
452	301	230
453	301	230
454	302	229
455	302	228
456	303	227
457	304	227
458	304	226
